[SYS] 2026/06/03 - 10:50:52 | initializing token encoders 
[SYS] 2026/06/03 - 10:50:52 | token encoders initialized 
[SYS] 2026/06/03 - 10:50:52 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/03 - 10:50:52 | database migration started 
[SYS] 2026/06/03 - 10:50:52 | system is not initialized and no root user exists 
[SYS] 2026/06/03 - 10:50:52 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/03 - 10:50:52 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/03 - 10:50:52 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/03 - 10:50:52 | New API v0.0.0 started 
[SYS] 2026/06/03 - 10:50:52 | 正在更新数据看板数据... 
[INFO] 2026/06/03 - 10:50:52 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[INFO] 2026/06/03 - 10:50:52 | SYSTEM | subscription quota reset task started: tick=1m0s 
[SYS] 2026/06/03 - 10:50:52 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/03 - 10:50:52 | upstream model update task started: interval=30m0s 

  [32mNew API v0.0.0[0m  ready in 578 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.216:3000/

[GIN] 2026/06/03 - 10:50:56 | web | 20260603025056598332008268d9d6jIvCtrkZ | 200 |      1.1525ms |       127.0.0.1 |     GET /
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561539949008268d9d6GoWSUWAz | 200 |     48.9845ms |       127.0.0.1 |     GET /assets/react-components-BMEyFlsF.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561518370008268d9d62pkyQJQT | 200 |     51.1424ms |       127.0.0.1 |     GET /assets/i18n-CXf1qFdU.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561533966008268d9d64MD9o17a | 200 |     53.5626ms |       127.0.0.1 |     GET /assets/tools-BaE53nVS.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561513162008268d9d6N5HcbbWg | 200 |     59.4253ms |       127.0.0.1 |     GET /assets/react-core-BAQOEN2L.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250562040646008268d9d6TP5IRkiU | 200 |     18.8847ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250562050999008268d9d63AWclVpu | 200 |     19.3482ms |       127.0.0.1 |     GET /assets/index-DmBMgGbG.css
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561523632008268d9d68JIe57Jr | 200 |    113.4292ms |       127.0.0.1 |     GET /assets/semi-ui-zoMjJx-j.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250561471256008268d9d621QEJuK2 | 200 |    243.9196ms |       127.0.0.1 |     GET /assets/index-CoZZEcHa.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250567023330008268d9d6TPTA8SPD | 200 |            0s |       127.0.0.1 |     GET /assets/index-C5_UUktj.js
[GIN] 2026/06/03 - 10:50:56 | api | 202606030250567090966008268d9d61nQ1jNqy | 200 |       524.8µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250567148123008268d9d60e8xblGG | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250567529307008268d9d6biILpaku | 200 |       515.7µs |       127.0.0.1 |     GET /setup
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250568431722008268d9d6ggEAlv47 | 200 |      1.5094ms |       127.0.0.1 |     GET /assets/react-components-BMEyFlsF.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250568421263008268d9d6TznYmN9I | 200 |      2.5553ms |       127.0.0.1 |     GET /assets/i18n-CXf1qFdU.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250568426513008268d9d6B7nIgoWk | 200 |      4.0315ms |       127.0.0.1 |     GET /assets/tools-BaE53nVS.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250568415950008268d9d6AGfhLbDq | 200 |       9.065ms |       127.0.0.1 |     GET /assets/react-core-BAQOEN2L.js
[GIN] 2026/06/03 - 10:50:56 | web | 202606030250568456830008268d9d6ZeFDFMXE | 200 |     11.3735ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
