[SYS] 2026/06/08 - 08:54:16 | initializing token encoders 
[SYS] 2026/06/08 - 08:54:16 | token encoders initialized 
[SYS] 2026/06/08 - 08:54:16 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/08 - 08:54:16 | database migration started 
[SYS] 2026/06/08 - 08:54:16 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/08 - 08:54:16 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/08 - 08:54:16 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/08 - 08:54:16 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/08 - 08:54:16 | New API v0.0.0 started 
[SYS] 2026/06/08 - 08:54:16 | 正在更新数据看板数据... 
[SYS] 2026/06/08 - 08:54:16 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/06/08 - 08:54:16 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/08 - 08:54:16 | upstream model update task started: interval=30m0s 

  [32mNew API v0.0.0[0m  ready in 231 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=Get "https://gptanon-2api.to2ai.workers.dev/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:18 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/08 - 08:54:18 | upstream model update notifications sent: 0 
[GIN] 2026/06/08 - 08:54:24 | web | 202606080054243452325008268d9d6vspwwf2o | 200 |       1.092ms |       127.0.0.1 |     GET /console/personal
[GIN] 2026/06/08 - 08:54:24 | web | 202606080054244905092008268d9d65C1auIKf | 200 |    142.8368ms |       127.0.0.1 |     GET /assets/index-J-xa4qNL.css
[GIN] 2026/06/08 - 08:54:24 | web | 202606080054244856908008268d9d6gTZr04ax | 200 |    198.4638ms |       127.0.0.1 |     GET /assets/semi-ui-C_y8LXIv.js
[GIN] 2026/06/08 - 08:54:24 | web | 202606080054244797870008268d9d6s9Wpng4S | 200 |    221.5206ms |       127.0.0.1 |     GET /assets/index-UvPWz7eG.js
[GIN] 2026/06/08 - 08:54:25 | api | 20260608005425675708008268d9d6HtTo2UkR | 401 |       999.1µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 08:54:25 | api | 20260608005425685699008268d9d6mQveK5OL | 401 |      1.9653ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/08 - 08:54:25 | api | 20260608005425685699008268d9d6xBrEd8rg | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 08:54:25 | api | 202606080054252759610008268d9d6ALihfdjE | 401 |       516.3µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 08:54:25 | web | 202606080054252775455008268d9d6u3qaTWPI | 200 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/08 - 08:54:25 | web | 202606080054253267287008268d9d6pGDhdk3G | 200 |       997.5µs |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/08 - 08:54:25 | api | 202606080054255314702008268d9d6ihduN55R | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 08:54:26 | api | 202606080054264929571008268d9d6dngDtdmE | 200 |     64.1776ms |       127.0.0.1 |    POST /api/user/login?turnstile=
[GIN] 2026/06/08 - 08:54:26 | api | 202606080054266661996008268d9d6K5ATcJdp | 200 |      1.9403ms |       127.0.0.1 |     GET /api/user/self
