[SYS] 2026/06/08 - 20:27:42 | initializing token encoders 
[SYS] 2026/06/08 - 20:27:42 | token encoders initialized 
[SYS] 2026/06/08 - 20:27:42 | using SQLite as database 
[SYS] 2026/06/08 - 20:27:42 | database migration started 
[SYS] 2026/06/08 - 20:27:43 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/08 - 20:27:43 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/08 - 20:27:43 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/08 - 20:27:43 | New API v0.0.0 started 
[SYS] 2026/06/08 - 20:27:43 | 正在更新数据看板数据... 
[INFO] 2026/06/08 - 20:27:43 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/08 - 20:27:43 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/08 - 20:27:43 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 169 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/08 - 20:27:45 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/08 - 20:27:45 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": read tcp 127.0.0.1:58122->127.0.0.1:7890: wsarecv: An established connection was aborted by the software in your host machine. 
[SYS] 2026/06/08 - 20:27:52 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=status code: 404 
[SYS] 2026/06/08 - 20:28:02 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/08 - 20:28:02 | upstream model update notifications sent: 0 
[SYS] 2026/06/08 - 20:28:43 | syncing options from database 
[GIN] 2026/06/08 - 20:28:56 | web | 202606081228565667137008268d9d60pE6hZ8Z | 200 |      1.0654ms |       127.0.0.1 |     GET /
[GIN] 2026/06/08 - 20:28:56 | web | 202606081228567692489008268d9d6TfZsQ2ha | 200 |    166.2288ms |       127.0.0.1 |     GET /assets/index-Du-R00sA.js
[GIN] 2026/06/08 - 20:28:57 | web | 202606081228571576552008268d9d6xmXXs2Cu | 200 |      1.3116ms |       127.0.0.1 |     GET /assets/index-C8nFiajo.js
[GIN] 2026/06/08 - 20:28:57 | api | 202606081228571610055008268d9d6cS3mRbwm | 200 |      1.0001ms |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 20:28:57 | api | 202606081228571798911008268d9d6xZzVHYDb | 200 |            0s |       127.0.0.1 |     GET /api/home_page_content
[GIN] 2026/06/08 - 20:29:10 | api | 202606081229108105100008268d9d6B5CrcT8N | 401 |      1.1042ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 20:29:10 | api | 202606081229108116142008268d9d6GKVP0D99 | 200 |       998.4µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 20:29:10 | api | 202606081229108116142008268d9d6FYfTvMIP | 401 |      1.8905ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/08 - 20:29:10 | web | 202606081229108360140008268d9d6U2aMlnFA | 200 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/08 - 20:29:11 | api | 20260608122911631040008268d9d6DAprJ37h | 200 |       613.5µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 20:29:12 | api | 202606081229123406451008268d9d6ih1cbdQc | 200 |     62.7306ms |       127.0.0.1 |    POST /api/user/login?turnstile=
[GIN] 2026/06/08 - 20:29:12 | api | 202606081229124515342008268d9d62aZOnFw8 | 200 |      1.0396ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 20:29:12 | web | 202606081229124461578008268d9d6p4nsW70g | 200 |     48.5977ms |       127.0.0.1 |     GET /assets/index-CCEFeTOu.js
[GIN] 2026/06/08 - 20:29:12 | api | 202606081229126351906008268d9d6Akc87cS7 | 200 |           1ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 20:29:12 | api | 202606081229126395549008268d9d602ZnsVO8 | 200 |      4.8816ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780921752&default_time=hour
[GIN] 2026/06/08 - 20:29:12 | api | 202606081229126967776008268d9d6do9cYY19 | 200 |      2.5958ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780921752
[GIN] 2026/06/08 - 20:29:16 | api | 202606081229164095577008268d9d63KHU22r3 | 200 |      1.1293ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/08 - 20:29:16 | api | 202606081229164101718008268d9d6rfd3AMU6 | 200 |       659.9µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/08 - 20:29:16 | api | 202606081229164095577008268d9d6d28hNbcm | 200 |      2.9407ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&tag_mode=false&status=enabled
[GIN] 2026/06/08 - 20:29:16 | api | 202606081229164106870008268d9d6BwINq5sV | 200 |     16.0615ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/08 - 20:29:24 | api | 202606081229242982261008268d9d6EDIktwXX | 200 |       528.7µs |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/08 - 20:29:24 | api | 202606081229242982261008268d9d6J0ddhrwu | 200 |       528.7µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 20:29:24 | api | 202606081229242982261008268d9d6QL2Uwdfi | 200 |      1.5922ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 20:29:25 | web | 202606081229253979031008268d9d6UCQoQbca | 404 |            0s |       127.0.0.1 |     GET /api/task/?p=1&page_size=10&channel_id=&task_id=&start_timestamp=1780848000&end_timestamp=1780925365
[GIN] 2026/06/08 - 20:29:28 | api | 202606081229283287458008268d9d6YZ9lQISf | 200 |      6.0885ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780848000&end_timestamp=1780925368&channel=&request_id=
[GIN] 2026/06/08 - 20:29:28 | api | 202606081229283519592008268d9d60WMvGVzw | 200 |      1.0606ms |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780848000&end_timestamp=1780925368&channel=
[GIN] 2026/06/08 - 20:29:31 | api | 202606081229318272756008268d9d6wJNIdNgh | 200 |      2.0818ms |       127.0.0.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/06/08 - 20:29:31 | api | 202606081229318262089008268d9d6KlF8vTG9 | 200 |      9.5199ms |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/08 - 20:29:33 | api | 202606081229331291758008268d9d6SF2CSnzo | 200 |         522µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 20:29:33 | api | 202606081229331291758008268d9d6WJitId2P | 200 |        4.82ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780921773&default_time=hour
[GIN] 2026/06/08 - 20:29:33 | api | 202606081229332063282008268d9d6lpKkfcc7 | 200 |       998.6µs |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780921773
