[SYS] 2026/06/08 - 23:17:08 | initializing token encoders 
[SYS] 2026/06/08 - 23:17:08 | token encoders initialized 
[SYS] 2026/06/08 - 23:17:08 | using SQLite as database 
[SYS] 2026/06/08 - 23:17:08 | database migration started 
[SYS] 2026/06/08 - 23:17:09 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/08 - 23:17:09 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/08 - 23:17:09 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/08 - 23:17:09 | New API v0.0.0 started 
[SYS] 2026/06/08 - 23:17:09 | 正在更新数据看板数据... 
[INFO] 2026/06/08 - 23:17:09 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/08 - 23:17:09 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/08 - 23:17:09 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/08 - 23:17:09 | upstream model update task done: checked_channels=6 changed_channels=2 detected_add_models=12 detected_remove_models=93 failed_channels=0 auto_added_models=0 
[SYS] 2026/06/08 - 23:17:09 | upstream model update notifications sent: 0 

  [32mNew API v0.0.0[0m  ready in 174 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/08 - 23:18:09 | syncing options from database 
[GIN] 2026/06/08 - 23:18:20 | web | 202606081518204429442008268d9d6DL0fBJXX | 200 |            0s |       127.0.0.1 |     GET /
[GIN] 2026/06/08 - 23:18:20 | api | 202606081518205124778008268d9d6CEUvhc3m | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/08 - 23:18:20 | api | 202606081518205510645008268d9d6kId3wV6m | 200 |       515.9µs |       127.0.0.1 |    POST /api/user/login
[GIN] 2026/06/08 - 23:18:20 | api | 202606081518205897122008268d9d6M81hAVk4 | 401 |            0s |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/08 - 23:18:20 | api | 202606081518206292923008268d9d6MkAsJmfh | 401 |       539.2µs |       127.0.0.1 |     GET /api/channel/
[GIN] 2026/06/08 - 23:18:20 | api | 202606081518206958975008268d9d6kBbTreTL | 401 |       511.2µs |       127.0.0.1 |     GET /api/token/
[ERR] 2026/06/08 - 23:18:20 | 202606081518207484028008268d9d63jQ3UArP | user 0 | Invalid token 
[GIN] 2026/06/08 - 23:18:20 | relay | 202606081518207484028008268d9d63jQ3UArP | 401 |      1.0085ms |       127.0.0.1 |     GET /v1/models
[GIN] 2026/06/08 - 23:18:20 | relay | 202606081518208115535008268d9d6zTAKq62u | 503 |       523.5µs |       127.0.0.1 |    POST /v1/chat/completions
[GIN] 2026/06/08 - 23:18:20 | relay | 202606081518208528154008268d9d6NyYKv55b | 503 |            0s |       127.0.0.1 |    POST /v1/responses
[GIN] 2026/06/08 - 23:18:20 | relay | 202606081518208948518008268d9d6iehLRJAQ | 503 |            0s |       127.0.0.1 |    POST /v1/embeddings
[GIN] 2026/06/08 - 23:18:20 | web | 202606081518209496992008268d9d6u5uRgaaG | 404 |      1.3515ms |       127.0.0.1 |    POST /v1/audio/transcriptions
[GIN] 2026/06/08 - 23:18:20 | web | 202606081518209941089008268d9d6B8S0WTCH | 404 |            0s |       127.0.0.1 |    POST /v1/videos
[GIN] 2026/06/08 - 23:18:21 | web | 20260608151821351579008268d9d6SOkafOtR | 404 |            0s |       127.0.0.1 |    POST /suno/submit/music
[GIN] 2026/06/08 - 23:18:21 | web | 20260608151821731871008268d9d6isDCnZIJ | 404 |            0s |       127.0.0.1 |     GET /api/task/
[GIN] 2026/06/08 - 23:18:21 | web | 202606081518211132074008268d9d6nh0NJeWq | 404 |            0s |       127.0.0.1 |     GET /api/prefill_group/
[GIN] 2026/06/08 - 23:18:21 | api | 202606081518211520213008268d9d6Fd97GFxV | 401 |       521.4µs |       127.0.0.1 |     GET /api/user/quota
[GIN] 2026/06/08 - 23:18:21 | web | 202606081518211970950008268d9d6Cfdb23uB | 404 |            0s |       127.0.0.1 |     GET /api/rate/
