[SYS] 2026/06/09 - 10:47:27 | initializing token encoders 
[SYS] 2026/06/09 - 10:47:27 | token encoders initialized 
[SYS] 2026/06/09 - 10:47:27 | using SQLite as database 
[SYS] 2026/06/09 - 10:47:27 | database migration started 
[SYS] 2026/06/09 - 10:47:27 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 10:47:27 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 10:47:27 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 10:47:27 | New API v0.0.0 started 
[SYS] 2026/06/09 - 10:47:27 | 正在更新数据看板数据... 
[SYS] 2026/06/09 - 10:47:27 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/06/09 - 10:47:27 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 10:47:27 | upstream model update task started: interval=30m0s 

  [32mNew API v0.0.0[0m  ready in 205 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 10:47:27 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": read tcp 127.0.0.1:21385->127.0.0.1:7890: wsarecv: An established connection was aborted by the software in your host machine. 
[SYS] 2026/06/09 - 10:47:27 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[SYS] 2026/06/09 - 10:47:27 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=status code: 404 
[SYS] 2026/06/09 - 10:47:28 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/09 - 10:47:28 | upstream model update notifications sent: 0 
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247296718488008268d9d6210MslSi | 200 |       522.3µs |       127.0.0.1 |     GET /models
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297580091008268d9d6LKD0WFtc | 200 |     51.6732ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297553529008268d9d6EJwt9K5Y | 200 |     55.8174ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297574409008268d9d67waXURKC | 200 |     56.2411ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297553529008268d9d6Vupxk4rX | 200 |     61.3472ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247298106838008268d9d63zGK2KVJ | 200 |     13.7068ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247298126827008268d9d6Mnc7320C | 200 |     14.7078ms |       127.0.0.1 |     GET /assets/index-DZKea0zR.css
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297564072008268d9d6qDUlybXk | 200 |     107.576ms |       127.0.0.1 |     GET /assets/semi-ui-B_vGjghE.js
[GIN] 2026/06/09 - 10:47:29 | web | 202606090247297542964008268d9d6rQfFRY0U | 200 |    119.3011ms |       127.0.0.1 |     GET /assets/index-BBPK9zLy.js
[GIN] 2026/06/09 - 10:47:30 | web | 20260609024730649671008268d9d6Jw9sjGfn | 200 |      1.0906ms |       127.0.0.1 |     GET /cover-4.webp
[GIN] 2026/06/09 - 10:47:30 | api | 20260609024730712117008268d9d6CdeRn1DL | 401 |       524.3µs |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 10:47:30 | api | 20260609024730729183008268d9d6yugoj9ZF | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247301043700008268d9d6pgY2B0p2 | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247301724889008268d9d69NAekrHa | 200 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/09 - 10:47:30 | api | 202606090247301730048008268d9d6qVhNS5Ci | 401 |            0s |       127.0.0.1 |     GET /api/channel/models_enabled
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302484149008268d9d6WHnHNDQC | 200 |       2.589ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302494531008268d9d67U1fNWER | 200 |       3.266ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302478677008268d9d6JOjB1VwW | 200 |      6.4091ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302549706008268d9d6d1SSC8bM | 200 |       1.026ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302565330008268d9d6fVJoAz24 | 200 |     10.4952ms |       127.0.0.1 |     GET /assets/index-DZKea0zR.css
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302554899008268d9d6YCEnDr4X | 200 |     11.5383ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302980921008268d9d686BJkvQE | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302489387008268d9d6ueaUugtF | 200 |     53.1545ms |       127.0.0.1 |     GET /assets/semi-ui-B_vGjghE.js
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247302468680008268d9d6QBUth7G4 | 200 |     63.4215ms |       127.0.0.1 |     GET /assets/index-BBPK9zLy.js
[GIN] 2026/06/09 - 10:47:30 | api | 202606090247305747043008268d9d6PuQdxpYq | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247305937065008268d9d6Mu9ndXVR | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 10:47:30 | web | 202606090247306131530008268d9d6yGEridlo | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 10:47:31 | api | 202606090247315989257008268d9d64yuS35Dp | 200 |      61.234ms |       127.0.0.1 |    POST /api/user/login?turnstile=
[GIN] 2026/06/09 - 10:47:31 | web | 202606090247317326546008268d9d6aK0AGck1 | 200 |            0s |       127.0.0.1 |     GET /assets/bisect-D13AdYuf.js
[GIN] 2026/06/09 - 10:47:31 | web | 202606090247317326546008268d9d6mK7MpQbe | 200 |       999.9µs |       127.0.0.1 |     GET /assets/IllustrationConstruction-Bzbm3kMk.js
[GIN] 2026/06/09 - 10:47:31 | api | 202606090247317381078008268d9d6IWMy5dQW | 200 |      1.0889ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 10:47:31 | web | 202606090247317316530008268d9d64kMXj8G1 | 200 |     54.3517ms |       127.0.0.1 |     GET /assets/index-Be4OLTya.js
[GIN] 2026/06/09 - 10:47:31 | api | 202606090247319415009008268d9d6kWSZlG7Q | 200 |            0s |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 10:47:31 | api | 202606090247319436891008268d9d6RVpeAxEZ | 200 |      8.9674ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780973251&default_time=hour
[GIN] 2026/06/09 - 10:47:32 | api | 2026060902473287840008268d9d6W3yElAW7 | 200 |      2.6963ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780973251
[GIN] 2026/06/09 - 10:47:32 | web | 202606090247326772440008268d9d6tV7hx0y9 | 200 |      2.1986ms |       127.0.0.1 |     GET /cover-4.webp
[GIN] 2026/06/09 - 10:47:32 | api | 202606090247327151130008268d9d6fcwMXuUp | 200 |       6.956ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 10:47:58 | api | 202606090247583659528008268d9d6pPuZYymy | 200 |      2.0005ms |       127.0.0.1 |     GET /api/channel/51
[GIN] 2026/06/09 - 10:47:58 | api | 202606090247583853743008268d9d6aQvFySw3 | 200 |      16.834ms |       127.0.0.1 |     PUT /api/channel/
[GIN] 2026/06/09 - 10:47:58 | api | 202606090247584073154008268d9d6Bu5UHBya | 200 |      1.6843ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 10:48:25 | api | 202606090248253424410008268d9d6NevusOED | 200 |       525.4µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 10:48:25 | api | 202606090248253424410008268d9d6GjdRXs4k | 200 |      2.6415ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780973305&default_time=hour
[GIN] 2026/06/09 - 10:48:25 | api | 202606090248254277320008268d9d6uJQ6IMrM | 200 |      2.0524ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780973305
[GIN] 2026/06/09 - 10:48:27 | api | 20260609024827843391008268d9d6Gazzlf3K | 200 |       517.1µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 10:48:27 | api | 20260609024827843391008268d9d6hLMH5fhT | 200 |      1.0312ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/09 - 10:48:27 | api | 20260609024827843391008268d9d6gtKiA4eT | 200 |      1.5983ms |       127.0.0.1 |     GET /api/user/self
[SYS] 2026/06/09 - 10:48:27 | syncing options from database 
[GIN] 2026/06/09 - 10:48:28 | api | 202606090248282836306008268d9d6KzZ72bVO | 200 |      1.8612ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 10:48:28 | api | 202606090248282841502008268d9d6ROCS1CVC | 200 |      1.8475ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 10:48:28 | api | 202606090248282836306008268d9d6NTM3uY1X | 200 |      3.5232ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&tag_mode=false&status=enabled
[GIN] 2026/06/09 - 10:48:28 | api | 202606090248282854918008268d9d6PWXaoxUo | 200 |     14.4257ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 10:48:29 | api | 202606090248297357743008268d9d6Elepx7ow | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 10:48:29 | api | 202606090248297351787008268d9d6OvkD8avT | 200 |       1.671ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 10:48:29 | api | 202606090248297351787008268d9d6zxfkSA2l | 200 |       1.671ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/09 - 10:48:30 | api | 202606090248308943234008268d9d6MytGp2Gm | 200 |      1.0003ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 10:48:30 | api | 202606090248308953237008268d9d6sFiNoaHG | 200 |      1.8849ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&tag_mode=false&status=enabled
[GIN] 2026/06/09 - 10:48:30 | api | 202606090248308987187008268d9d6xkvmQ5EL | 200 |       520.7µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 10:48:30 | api | 202606090248308992394008268d9d6Su6fhrJA | 200 |     12.7568ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 10:48:45 | api | 202606090248452156314008268d9d6zGq7zpv3 | 200 |      1.0673ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&tag_mode=true&status=enabled
[GIN] 2026/06/09 - 10:48:46 | api | 202606090248464987332008268d9d6WZxsadeC | 200 |      3.2807ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&tag_mode=false&status=enabled
