[SYS] 2026/06/09 - 14:01:25 | initializing token encoders 
[SYS] 2026/06/09 - 14:01:25 | token encoders initialized 
[SYS] 2026/06/09 - 14:01:25 | using SQLite as database 
[SYS] 2026/06/09 - 14:01:25 | database migration started 
[SYS] 2026/06/09 - 14:01:25 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 14:01:25 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 14:01:25 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 14:01:25 | New API v0.0.0 started 
[SYS] 2026/06/09 - 14:01:25 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 14:01:25 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 14:01:25 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 14:01:25 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 193 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601291979060008268d9d61opZgJGu | 200 |      1.0762ms |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294928268008268d9d6bm4xLGXv | 200 |    125.1839ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294886086008268d9d6m6iw91qz | 200 |    131.5759ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294928268008268d9d6s9dQTKqR | 200 |    129.9531ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294870415008268d9d6INo8XqJQ | 200 |    145.4554ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601296186968008268d9d6xxYz6GdQ | 200 |     32.4908ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601296212097008268d9d6sE13WIjq | 200 |     36.1139ms |       127.0.0.1 |     GET /assets/index-jXPrgdQ7.css
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294892730008268d9d6Tg9WE9SZ | 200 |    257.4999ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601294814088008268d9d6wEdi3maP | 200 |     291.906ms |       127.0.0.1 |     GET /assets/index-CLAz13R2.js
[GIN] 2026/06/09 - 14:01:30 | web | 202606090601309277971008268d9d6A6y6LfBg | 200 |         569µs |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317372154008268d9d6qNvkdoxT | 401 |       533.5µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317537262008268d9d6cRyPuyHh | 401 |       658.2µs |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317542506008268d9d6z06uqMqv | 401 |      2.1361ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317543844008268d9d6xHkggE1G | 401 |      3.1848ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317543844008268d9d6z5z0INdk | 401 |      4.4548ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&status=enabled
[GIN] 2026/06/09 - 14:01:31 | api | 202606090601317684106008268d9d6FBzVWaJv | 200 |       526.9µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 14:01:31 | web | 202606090601318128699008268d9d6WkNhmVxl | 200 |            0s |       127.0.0.1 |     GET /logo.png
[SYS] 2026/06/09 - 14:01:32 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=status code: 404 
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601323221200008268d9d6NdAsdHsg | 200 |      1.4721ms |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/09 - 14:01:32 | api | 202606090601323252788008268d9d6eRvfAMvk | 401 |      1.7387ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327135597008268d9d6FPCwyPdk | 200 |       6.995ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327220780008268d9d6urn0T110 | 200 |      1.0004ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327190776008268d9d6W0gxP58Z | 200 |      7.1785ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327126600008268d9d6an3z6ogb | 200 |     14.1245ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327273049008268d9d6P25egoxo | 200 |     27.8977ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327281129008268d9d66aaJJjWB | 200 |     33.9962ms |       127.0.0.1 |     GET /assets/index-jXPrgdQ7.css
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327135597008268d9d6coT8OWy3 | 200 |    131.7483ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 14:01:32 | web | 202606090601327122598008268d9d6gYUH9nMh | 200 |     150.061ms |       127.0.0.1 |     GET /assets/index-CLAz13R2.js
[SYS] 2026/06/09 - 14:01:32 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/09 - 14:01:32 | upstream model update notifications sent: 0 
[GIN] 2026/06/09 - 14:01:33 | api | 202606090601331653324008268d9d6u1cXBbDx | 200 |       519.9µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 14:01:33 | web | 202606090601331789008008268d9d6MwYaBqjv | 200 |      1.0002ms |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 14:01:33 | web | 202606090601331891129008268d9d6nvjBiWHx | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 14:01:34 | api | 202606090601344325727008268d9d6XUCyvvcl | 200 |     85.4011ms |       127.0.0.1 |    POST /api/user/login?turnstile=
[GIN] 2026/06/09 - 14:01:34 | api | 202606090601346169702008268d9d6A2j0xRW0 | 200 |       997.8µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:01:34 | web | 202606090601346138138008268d9d63ToBH6aG | 200 |    115.7688ms |       127.0.0.1 |     GET /assets/index-B4UFkW85.js
[GIN] 2026/06/09 - 14:01:35 | api | 20260609060135260791008268d9d66QJCqi9K | 200 |      1.5284ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:01:35 | api | 20260609060135314401008268d9d6FxQMEzyZ | 200 |      9.4325ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780984894&default_time=hour
[GIN] 2026/06/09 - 14:01:35 | api | 202606090601351057133008268d9d6AM6h4lDJ | 200 |      2.8205ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780984894
[GIN] 2026/06/09 - 14:01:37 | api | 202606090601372659296008268d9d6IEZYuXFz | 200 |      1.7378ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:01:37 | api | 202606090601372728155008268d9d6atydAjwE | 200 |      1.0667ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:01:37 | api | 202606090601372722675008268d9d6nZxUukpS | 200 |       2.421ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&status=enabled
[GIN] 2026/06/09 - 14:01:37 | api | 202606090601372728155008268d9d6we38h33d | 200 |     29.9596ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:02:00 | api | 202606090602008309723008268d9d6e4mIFqRn | 200 |      3.1194ms |       127.0.0.1 |     GET /api/channel/?p=2&page_size=10&id_sort=true&status=enabled
[GIN] 2026/06/09 - 14:02:02 | api | 202606090602027204559008268d9d6WtYKJauR | 200 |      2.5094ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&status=enabled
[GIN] 2026/06/09 - 14:02:18 | api | 202606090602189736408008268d9d6xhMFKaXj | 200 |       519.3µs |       127.0.0.1 |     GET /api/channel/70
[GIN] 2026/06/09 - 14:02:18 | api | 202606090602189736408008268d9d6EovfteGU | 200 |      1.0341ms |       127.0.0.1 |     GET /api/channel/models
[SYS] 2026/06/09 - 14:02:25 | syncing options from database 
[GIN] 2026/06/09 - 14:02:26 | web | 202606090602264179877008268d9d6IRwYd1YC | 200 |      2.1975ms |       127.0.0.1 |     GET /cover-4.webp
[GIN] 2026/06/09 - 14:02:26 | api | 202606090602264179877008268d9d6CCwBHDXM | 200 |      7.9749ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:02:45 | api | 202606090602453631315008268d9d69xu6tW0e | 200 |      1.0544ms |       127.0.0.1 |     GET /api/user/self
