[SYS] 2026/06/09 - 15:13:49 | initializing token encoders 
[SYS] 2026/06/09 - 15:13:49 | token encoders initialized 
[SYS] 2026/06/09 - 15:13:49 | using SQLite as database 
[SYS] 2026/06/09 - 15:13:49 | database migration started 
[SYS] 2026/06/09 - 15:13:49 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 15:13:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 15:13:49 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 15:13:49 | New API v0.0.0 started 
[SYS] 2026/06/09 - 15:13:49 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 15:13:49 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 15:13:49 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 15:13:49 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 248 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": read tcp 127.0.0.1:16836->127.0.0.1:7890: wsarecv: An existing connection was forcibly closed by the remote host. 
[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 15:13:51 | web | 202606090713518832812008268d9d6z4BX7ECN | 200 |      1.2557ms |       127.0.0.1 |     GET /console/setting?tab=operation
[GIN] 2026/06/09 - 15:13:52 | web | 202606090713519657163008268d9d6gss5AGJH | 200 |     54.0404ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:13:52 | web | 202606090713519519665008268d9d6NuDwk16s | 200 |    112.0677ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:13:52 | api | 202606090713522306469008268d9d60wTFsw6c | 200 |       527.5µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:13:52 | api | 202606090713522306469008268d9d6CjHdGilr | 401 |       527.5µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:13:52 | api | 202606090713522941966008268d9d655e1kPFo | 401 |            0s |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:13:52 | web | 202606090713523179939008268d9d6uAs5FYVT | 200 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/09 - 15:13:52 | web | 202606090713524089842008268d9d6WV0sxAKB | 200 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/09 - 15:13:52 | api | 202606090713525835911008268d9d6kmawdM5p | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:13:53 | api | 202606090713534827287008268d9d6fT4UcxC1 | 200 |     58.7874ms |       127.0.0.1 |    POST /api/user/login?turnstile=
[GIN] 2026/06/09 - 15:13:53 | api | 202606090713536224327008268d9d6rqwMVkHg | 200 |       1.046ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:13:53 | web | 202606090713536218697008268d9d626MUrT6j | 200 |     53.3939ms |       127.0.0.1 |     GET /assets/index-sE8yW5cr.js
[GIN] 2026/06/09 - 15:13:53 | api | 202606090713538341093008268d9d6csq17AI1 | 200 |       534.6µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:13:53 | api | 202606090713538370537008268d9d6yBECsMVJ | 200 |      5.2404ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780989233&default_time=hour
[GIN] 2026/06/09 - 15:13:53 | api | 202606090713538898453008268d9d6ahHMFRMw | 200 |      1.8089ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780989233
[GIN] 2026/06/09 - 15:13:54 | api | 202606090713547059808008268d9d6sseonAAJ | 200 |      7.0487ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[SYS] 2026/06/09 - 15:13:58 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=status code: 404 
[SYS] 2026/06/09 - 15:13:59 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/09 - 15:13:59 | upstream model update notifications sent: 0 
[GIN] 2026/06/09 - 15:14:14 | api | 20260609071414907724008268d9d6aIaHG6Mw | 200 |      1.0411ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:14 | api | 20260609071414907724008268d9d6nha3H7wg | 200 |      5.3605ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780989254&default_time=hour
[GIN] 2026/06/09 - 15:14:14 | api | 202606090714141810811008268d9d6JHOwUP2g | 200 |      3.1241ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780989254
[GIN] 2026/06/09 - 15:14:15 | api | 202606090714158550585008268d9d6weBGNWPY | 200 |      1.0521ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:15 | api | 202606090714158599500008268d9d6U4OT8Bqw | 200 |      1.2848ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:15 | api | 202606090714158593805008268d9d6J91DoyWN | 200 |      2.8935ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:15 | api | 202606090714158607188008268d9d64XaqHsjK | 200 |     21.6613ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:22 | web | 202606090714226397121008268d9d63wkR19HF | 200 |       514.2µs |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714228960406008268d9d6vCNnu4E2 | 200 |      1.3539ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714228960406008268d9d69HaWP92M | 200 |      1.9485ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714228968630008268d9d6QPvFHaEe | 200 |      4.0597ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714228990291008268d9d6TV7PPLlS | 200 |      3.9254ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714229026364008268d9d6Mxg0uExu | 200 |      1.1896ms |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:14:22 | api | 202606090714229000178008268d9d6dq6JsUQo | 200 |     33.7377ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:23 | api | 20260609071423511895008268d9d6jsv8GhZ4 | 200 |       1.047ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:25 | web | 20260609071425754802008268d9d6hVumWoks | 200 |            0s |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251458246008268d9d69T8Cafej | 200 |      3.5066ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251499259008268d9d6AVSEtEi4 | 200 |      5.9706ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251447560008268d9d6oWvl3rRr | 200 |     13.1477ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251559042008268d9d6s57GHyDb | 200 |      1.9995ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251559042008268d9d6SLFiw9kt | 200 |     31.4795ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251559042008268d9d6FiqD4aWB | 200 |     33.1287ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251493312008268d9d671Wiys7l | 200 |     97.8364ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714251442246008268d9d6RoIIMwnU | 200 |    119.5339ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255442473008268d9d6OBcifOVu | 200 |      1.0717ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255442473008268d9d6gM3863wP | 200 |      1.5903ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255498808008268d9d62xRRBt3I | 200 |      1.5878ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255509538008268d9d6S2jZAnbo | 200 |       1.047ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255525848008268d9d6Osgd58XM | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714255599351008268d9d6MrN65TCB | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714255514686008268d9d6COB6WL5S | 200 |     23.1521ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:25 | web | 202606090714255843229008268d9d6wXgCvLAe | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:25 | api | 202606090714256607502008268d9d6ybokHWV2 | 200 |       515.4µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264212181008268d9d6xyStOOG6 | 200 |            0s |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264870615008268d9d6IxpHBdAc | 200 |      2.4432ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264860682008268d9d66IhZE5hv | 200 |     18.4343ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714265075015008268d9d63biIMrfI | 200 |      1.9997ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264935017008268d9d6xwnhtUyC | 200 |     15.9995ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264925021008268d9d65drmXU9Q | 200 |     32.6283ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714265095012008268d9d6GTLIG7td | 200 |     30.6293ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264870615008268d9d6n2Trnmm3 | 200 |    111.4576ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 15:14:26 | web | 202606090714264855455008268d9d6J2fxGD4s | 200 |    133.5926ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:14:26 | api | 202606090714269260651008268d9d6qwnVE7w1 | 200 |       999.8µs |       127.0.0.1 |     GET /api/user/self
